;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
q-q-0;h();;;;x();;barrier();cu1(float);cx();;cx();;;;cx();;;;cx();;barrier();x();;barrier();h();;;;x();;;;barrier();cu1(float);cx();;cx();;;;cx();;;;cx();;x();;;;h();;;;barrier();measure();;;
q-q-1;;h();;;;;barrier();;cx();cu1(float);cx();cu1(float);cx();;;;cx();;;;barrier();;;barrier();;h();;;;x();;;barrier();;cx();cu1(float);cx();cu1(float);cx();;;;cx();;;;;x();;;;h();;;barrier();;measure();;
q-q-2;;;h();;;x();barrier();;;;;;cx();cu1(float);cx();cu1(float);cx();cu1(float);cx();cu1(float);barrier();;x();barrier();;;h();;;;x();;barrier();;;;;;cx();cu1(float);cx();cu1(float);cx();cu1(float);cx();cu1(float);;;x();;;;h();;barrier();;;measure();
q-q-3;;;;h();;;barrier();cu1(float);;cu1(float);;cu1(float);;cu1(float);;cu1(float);;cu1(float);;cu1(float);barrier();;;barrier();;;;h();;;;x();barrier();cu1(float);;cu1(float);;cu1(float);;cu1(float);;cu1(float);;cu1(float);;cu1(float);;;;x();;;;h();barrier();;;;measure()
c-meas-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;
c-meas-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;
c-meas-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();
c-meas-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure()
